Method;Neurons;Threshold;VWSC;Time;Simplicity;Precision;Generalization;
PrefixTree;-1;-1;-1;6.13819;0.0538721;1;0.0881517;
FreqRed;-1;0.2;0.05;1.9902;0.695652;0.415308;0.906483;
FreqRed;-1;0.2;0.1;1.66913;0.519856;0.433944;0.833608;
FreqRed;-1;0.2;0.15;1.39491;0.436364;0.438273;0.813154;
FreqRed;-1;0.2;0.2;1.44363;0.391304;0.407627;0.803454;
FreqRed;-1;0.2;0.25;1.3503;0.38814;0.452563;0.792417;
FreqRed;-1;0.2;0.3;1.37227;0.338028;0.442923;0.769946;
FreqRed;-1;0.2;0.35;1.30107;0.317881;0.4438;0.7609;
FreqRed;-1;0.2;0.4;1.2156;0.245734;0.444228;0.714531;
FreqRed;-1;0.2;0.45;1.21274;0.254867;0.463536;0.712625;
FreqRed;-1;0.2;0.5;1.22455;0.249135;0.461058;0.706772;
FreqRed;-1;0.2;0.55;1.2305;0.236842;0.457001;0.70608;
FreqRed;-1;0.2;0.6;1.233;0.235679;0.476071;0.688274;
FreqRed;-1;0.2;0.65;1.21979;0.231884;0.471579;0.681145;
FreqRed;-1;0.2;0.7;1.21676;0.234528;0.47909;0.68399;
FreqRed;-1;0.2;0.75;1.22781;0.222566;0.477044;0.690376;
FreqRed;-1;0.2;0.8;1.16482;0.150943;0.438232;0.640588;
FreqRed;-1;0.2;0.85;1.18311;0.150785;0.4361;0.640048;
FreqRed;-1;0.2;0.9;1.18895;0.146341;0.437508;0.629072;
FreqRed;-1;0.2;0.95;1.1734;0.145308;0.441461;0.63484;
FreqRed;-1;0.3;0.05;1.45804;0.702439;0.406839;0.915662;
FreqRed;-1;0.3;0.1;1.38864;0.5625;0.469831;0.854175;
FreqRed;-1;0.3;0.15;1.30607;0.48;0.427541;0.830957;
FreqRed;-1;0.3;0.2;1.30379;0.404494;0.421006;0.800444;
FreqRed;-1;0.3;0.25;1.27255;0.405634;0.428053;0.80613;
FreqRed;-1;0.3;0.3;1.22037;0.352078;0.451243;0.763784;
FreqRed;-1;0.3;0.35;1.24943;0.32287;0.438972;0.760996;
FreqRed;-1;0.3;0.4;1.25379;0.258528;0.454333;0.701523;
FreqRed;-1;0.3;0.45;1.21122;0.255773;0.45936;0.70852;
FreqRed;-1;0.3;0.5;1.27425;0.246575;0.46833;0.697823;
FreqRed;-1;0.3;0.55;1.22183;0.239203;0.469377;0.69539;
FreqRed;-1;0.3;0.6;1.22723;0.236453;0.479326;0.678531;
FreqRed;-1;0.3;0.65;1.22253;0.227129;0.485863;0.68353;
FreqRed;-1;0.3;0.7;1.26765;0.233387;0.491646;0.686261;
FreqRed;-1;0.3;0.75;1.22691;0.227488;0.4775;0.686081;
FreqRed;-1;0.3;0.8;1.18294;0.149844;0.436621;0.634921;
FreqRed;-1;0.3;0.85;1.18025;0.150628;0.434365;0.639721;
FreqRed;-1;0.3;0.9;1.18253;0.144869;0.437666;0.636748;
FreqRed;-1;0.3;0.95;1.18448;0.150313;0.438382;0.645794;
FreqRed;-1;0.4;0.05;1.46092;0.702439;0.406839;0.914904;
FreqRed;-1;0.4;0.1;1.38711;0.5625;0.469831;0.854391;
FreqRed;-1;0.4;0.15;1.30453;0.45283;0.424763;0.815346;
FreqRed;-1;0.4;0.2;1.27355;0.393443;0.410063;0.808393;
FreqRed;-1;0.4;0.25;1.28678;0.384;0.443667;0.792986;
FreqRed;-1;0.4;0.3;1.21562;0.340426;0.447142;0.77168;
FreqRed;-1;0.4;0.35;1.25364;0.311015;0.434422;0.759232;
FreqRed;-1;0.4;0.4;1.26548;0.258528;0.45519;0.714163;
FreqRed;-1;0.4;0.45;1.18553;0.257143;0.453728;0.713155;
FreqRed;-1;0.4;0.5;1.26131;0.251748;0.471364;0.700827;
FreqRed;-1;0.4;0.55;1.21801;0.250435;0.477591;0.706979;
FreqRed;-1;0.4;0.6;3.22659;0.237232;0.479068;0.689021;
FreqRed;-1;0.4;0.65;1.22243;0.235679;0.478614;0.695325;
FreqRed;-1;0.4;0.7;1.2177;0.240401;0.484278;0.690629;
