Method;Neurons;Threshold;VWSC;Time;Simplicity;Precision;Generalization
PrefixTree;-1;-1;-1;3.50598;0.00725645;1;0.0488449
FreqRed;-1;0.2;0.05;3.08594;0.546512;0.756125;0.960538
FreqRed;-1;0.2;0.1;3.09642;0.34058;0.786336;0.949145
FreqRed;-1;0.2;0.15;3.05322;0.288344;0.810414;0.942814
FreqRed;-1;0.2;0.2;2.97566;0.267045;0.843099;0.934442
FreqRed;-1;0.2;0.25;3.00396;0.239796;0.843962;0.929946
FreqRed;-1;0.2;0.3;3.0414;0.219626;0.84854;0.919382
FreqRed;-1;0.2;0.35;3.00983;0.213636;0.828921;0.916668
FreqRed;-1;0.2;0.4;3.0043;0.211712;0.813258;0.91302
FreqRed;-1;0.2;0.45;3.05281;0.200855;0.844386;0.912009
FreqRed;-1;0.2;0.5;3.14045;0.193416;0.852481;0.909915
FreqRed;-1;0.2;0.55;3.05353;0.190283;0.859557;0.909058
FreqRed;-1;0.2;0.6;3.06819;0.183594;0.860728;0.900795
FreqRed;-1;0.2;0.65;3.15966;0.175373;0.858697;0.896624
FreqRed;-1;0.2;0.7;3.12034;0.172794;0.854814;0.893672
FreqRed;-1;0.2;0.75;3.0904;0.16263;0.829935;0.878727
FreqRed;-1;0.2;0.8;3.0829;0.155629;0.832584;0.8708
FreqRed;-1;0.2;0.85;3.07927;0.147335;0.857564;0.864068
FreqRed;-1;0.2;0.9;3.10343;0.146417;0.864512;0.863567
FreqRed;-1;0.2;0.95;3.08852;0.140299;0.835084;0.862042
FreqRed;-1;0.3;0.05;3.0417;0.546512;0.731125;0.9653
FreqRed;-1;0.3;0.1;3.02566;0.364341;0.760575;0.948895
FreqRed;-1;0.3;0.15;3.06093;0.231527;0.497191;0.939401
FreqRed;-1;0.3;0.2;3.11485;0.220657;0.556822;0.935754
FreqRed;-1;0.3;0.25;3.08224;0.194215;0.64857;0.926304
FreqRed;-1;0.3;0.3;3.04762;0.181467;0.67599;0.918854
FreqRed;-1;0.3;0.35;3.05907;0.17803;0.650107;0.914735
FreqRed;-1;0.3;0.4;3.10509;0.16263;0.622565;0.907839
FreqRed;-1;0.3;0.45;3.12064;0.154605;0.657498;0.910025
FreqRed;-1;0.3;0.5;3.12347;0.15016;0.677496;0.902899
FreqRed;-1;0.3;0.55;3.12808;0.148265;0.660265;0.903093
FreqRed;-1;0.3;0.6;3.12857;0.144172;0.641015;0.889014
FreqRed;-1;0.3;0.65;3.12802;0.145511;0.728125;0.897517
FreqRed;-1;0.3;0.7;3.20273;0.141141;0.732099;0.892262
FreqRed;-1;0.3;0.75;3.12535;0.133144;0.695116;0.884996
FreqRed;-1;0.3;0.8;3.12118;0.125;0.707906;0.872997
FreqRed;-1;0.3;0.85;3.14803;0.121447;0.682424;0.869765
FreqRed;-1;0.3;0.9;3.13469;0.121134;0.689642;0.871589
FreqRed;-1;0.3;0.95;3.26633;0.114634;0.714237;0.863355
FreqRed;-1;0.4;0.05;3.07024;0.546512;0.731125;0.965295
FreqRed;-1;0.4;0.1;3.06745;0.364341;0.760575;0.948905
FreqRed;-1;0.4;0.15;3.15059;0.231527;0.497191;0.936488
FreqRed;-1;0.4;0.2;3.14273;0.208889;0.575244;0.930797
FreqRed;-1;0.4;0.25;3.16304;0.194215;0.64857;0.927446
FreqRed;-1;0.4;0.3;3.06187;0.181467;0.67599;0.91862
FreqRed;-1;0.4;0.35;3.05129;0.17803;0.650107;0.914848
